intent,text
create_incident_ticket,Оформи заявку по цій проблемі
create_incident_ticket,Потрібно передати інцидент аналітику
create_incident_ticket,Створи картку інциденту
create_incident_ticket,Збережи цей випадок як інцидент
create_incident_ticket,Підготуй заявку для адміністратора
create_incident_ticket,Потрібно зареєструвати security ticket
create_incident_ticket,Створи запит на реагування
create_incident_ticket,Оформи проблему як кіберінцидент
unknown,Яка сьогодні погода?
unknown,Порахуй мені два плюс два
unknown,Порадь фільм на вечір
unknown,Хочу замовити піцу
unknown,Як приготувати каву?
unknown,Розкажи жарт
unknown,Який курс долара?
unknown,Напиши вірш
unknown,Знайди рецепт борщу
unknown,Постав будильник
unknown,Допоможи вибрати телефон
unknown,Я хочу купити квитки в кіно
